,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
41,10/21/2022,20.84109589041096,W,0,11.766666666666667,1,4,0.25,0,2,0.0,2,2,1.0,1,0,1,0,0,0,0,1,4,1.9,-16.0,Jalen Johnson,1,2,0.5
42,10/23/2022,20.846575342465755,L,0,9.516666666666667,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,0,0,0,1,0,3,1.6,-6.0,Jalen Johnson,1,1,1.0
43,10/26/2022,20.854794520547944,W,0,12.1,2,4,0.5,1,2,0.5,0,0,,0,3,3,0,0,0,0,2,5,3.1,0.0,Jalen Johnson,1,2,0.5
45,10/29/2022,20.863013698630137,L,0,16.583333333333332,2,7,0.286,0,4,0.0,0,0,,0,2,2,2,1,0,0,4,4,1.3,-3.0,Jalen Johnson,2,3,0.6666666666666666
47,11/2/2022,20.873972602739727,W,0,11.883333333333333,0,1,0.0,0,1,0.0,0,0,,1,3,4,0,1,0,0,1,0,1.5,-5.0,Jalen Johnson,0,0,
50,11/9/2022,20.893150684931506,L,0,19.5,0,5,0.0,0,1,0.0,0,0,,1,4,5,1,1,1,0,2,0,0.0,-22.0,Jalen Johnson,0,4,0.0
54,11/16/2022,20.912328767123288,L,0,10.566666666666666,3,11,0.273,0,4,0.0,1,2,0.5,2,2,4,0,1,1,0,0,7,3.8,-5.0,Jalen Johnson,3,7,0.42857142857142855
55,11/19/2022,20.92054794520548,W,0,5.35,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-8.0,Jalen Johnson,0,0,
59,11/27/2022,20.942465753424656,L,0,11.433333333333334,0,0,,0,0,,0,0,,1,4,5,1,0,0,1,2,0,0.8,-4.0,Jalen Johnson,0,0,
62,10/23/2022,24.09315068493151,L,1,33.266666666666666,9,25,0.36,2,8,0.25,8,9,0.889,2,3,5,9,0,0,1,4,28,19.7,-6.0,Trae Young,7,17,0.4117647058823529
