Season,Player,Salary,times_injured,WS,Pos,OWS,DWS,Age,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,Justise Winslow,4097561,17,0.8,PF,-0.3,1.1,25,2.3,5.4,0.3,1.4,2,4,0.8,1.4,1,3.2,4.2,1.8,0.7,0.5,1,1.4,5.7
2022,Juwan Morgan,576230,3,0.1,PF,0.1,0,24,1,1.5,0.5,1,0.5,0.5,0,0,1,1,2,0.5,0,0,0,1.5,2.5
2022,Karl-Anthony Towns,33833400,7,10.3,C,7.1,3.2,26,8.7,16.4,2,4.9,6.6,11.5,5.2,6.3,2.6,7.2,9.8,3.6,1,1.1,3.1,3.6,24.6
2023,Kawhi Leonard,42492492,68,0.2,SF,0.1,0.1,31,3.8,8.5,0.5,3,3.3,5.5,2.5,3.3,1,3.8,4.8,3,0.8,0,1.3,1.8,10.5
2022,Keita Bates-Diop,1878720,6,1.6,SF,0.6,1,26,2.3,4.5,0.3,0.9,2,3.5,0.8,1,1.1,2.9,3.9,0.7,0.5,0.2,0.8,1,5.7
2022,Kelly Olynyk,12804878,21,1.6,C,0.8,0.8,30,3.2,7.2,1,3,2.2,4.2,1.7,2.2,1.4,3.1,4.4,2.8,0.8,0.5,1.5,2.5,9.1
2022,Kelly Oubre Jr.,12600000,9,3.3,SF,1.8,1.4,26,5.4,12.3,2.5,7.3,2.9,5,1.7,2.5,1,2.9,4,1.1,1,0.4,0.9,2.5,15
2022,Kemba Walker,9165471,27,1.8,PG,1,0.9,31,4,10,2,5.4,2.1,4.6,1.6,1.9,0.4,2.6,3,3.5,0.7,0.2,1.3,1,11.6
2023,Kendrick Nunn,5250000,3,-0.4,PG,-0.6,0.1,27,2.2,6.2,1,3.3,1.2,2.8,0.3,0.4,0.1,1.5,1.5,1.3,0.2,0.1,1.5,0.8,5.8
2022,Kenrich Williams,2000000,3,1.8,SF,0.8,1,27,3,6.5,0.8,2.5,2.1,4,0.6,1.1,1.5,3,4.5,2.2,0.9,0.2,0.9,1.7,7.4
2022,Kentavious Caldwell-Pope,14004703,8,2.8,SG,1.4,1.4,28,4.7,10.8,2.1,5.3,2.6,5.5,1.8,2,0.5,2.9,3.4,1.9,1.1,0.3,1.3,1.8,13.2
2022,Kevin Durant,44119845,37,8.4,PF,6.4,2,33,10.5,20.3,2.1,5.5,8.4,14.8,6.8,7.4,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9
2022,Kevin Huerter,14508929,7,2.8,SF,1.8,1,23,4.7,10.3,2.2,5.6,2.5,4.7,0.6,0.7,0.4,3,3.4,2.7,0.7,0.4,1.2,2.5,12.1
2022,Kevin Knox,3000000,1,0.2,SF,0.1,0.2,22,1,2.8,0.5,1.8,0.5,1,0.5,0.7,0.5,1,1.5,0.3,0.1,0.1,0.2,0.6,3.1
2022,Kevin Love,28942830,101,5.7,C,3.2,2.5,33,4.4,10.3,2.5,6.4,1.9,3.8,2.2,2.7,1.2,6.1,7.2,2.2,0.4,0.2,1.3,1.4,13.6
2022,Kevin Porter Jr.,3217631,3,0.8,PG,0,0.8,21,5.5,13.2,2.5,6.8,3,6.5,2,3.2,0.7,3.7,4.4,6.2,1.1,0.4,3.1,2.6,15.6
2022,Kevon Looney,8000000,30,6.8,C,3.5,3.2,25,2.5,4.4,0,0,2.5,4.4,0.9,1.5,2.5,4.7,7.3,2,0.6,0.6,0.8,2.6,6
2022,Khem Birch,6667500,7,2.6,C,1.5,1.1,29,1.8,3.6,0,0.3,1.8,3.4,1,1.3,2.2,2.1,4.3,1,0.5,0.5,0.5,1.9,4.5
2022,Khris Middleton,37948276,22,5.3,SF,3.2,2.2,30,6.8,15.5,2.5,6.6,4.4,8.9,3.9,4.4,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4,20.1
2022,Klay Thompson,40600080,18,1.8,SG,0.6,1.2,31,7.7,17.9,3.6,9.3,4.1,8.7,1.4,1.6,0.5,3.4,3.9,2.8,0.5,0.5,1.3,1.7,20.4
2022,Kyle Anderson,8780488,16,3.5,PF,1,2.5,28,3,6.8,0.5,1.6,2.5,5.2,1,1.5,1,4.3,5.3,2.7,1.1,0.7,1,1.6,7.6
2022,Kyle Kuzma,13000000,12,2,PF,0,2,26,6.4,14.2,1.9,5.7,4.5,8.5,2.4,3.3,1.1,7.4,8.5,3.5,0.6,0.9,2.6,1.9,17.1
